timestamp,cpu,ram,disk,network
2025-05-09 00:00:00,22.95,26.08,122393.01,135523.15
2025-05-09 00:01:00,14.79,22.15,90181.34,214086.74
2025-05-09 00:02:00,24.64,44.67,114729.46,220857.67
2025-05-09 00:03:00,26.99,26.84,80885.1,137918.05
2025-05-09 00:04:00,13.82,44.87,109340.72,219225.05
2025-05-09 00:05:00,20.52,27.49,77902.62,234519.87
2025-05-09 00:06:00,11.49,31.7,98424.89,251359.08
2025-05-09 00:07:00,27.91,43.23,85885.86,173915.53
2025-05-09 00:08:00,11.08,49.84,177514.98,147300.14
2025-05-09 00:09:00,18.3,47.79,86395.4,250187.66
2025-05-09 00:10:00,19.67,48.22,87880.59,192566.01
2025-05-09 00:11:00,26.71,34.5,98638.24,168280.25
2025-05-09 00:12:00,26.72,33.02,111932.9,197253.98
2025-05-09 00:13:00,28.44,32.28,123909.37,201464.83
2025-05-09 00:14:00,20.23,41.7,102967.59,225716.37
2025-05-09 00:15:00,14.19,33.7,86574.96,265511.86
2025-05-09 00:16:00,19.34,37.13,113252.1,228265.24
2025-05-09 00:17:00,12.42,46.34,82937.23,209586.34
2025-05-09 00:18:00,21.01,36.42,101823.54,238984.25
2025-05-09 00:19:00,23.26,20.69,99691.75,215164.76
2025-05-09 00:20:00,18.06,44.09,61672.82,173590.66
2025-05-09 00:21:00,16.4,33.19,592796.35,55964.89
2025-05-09 00:22:00,18.3,9.63,90192.32,207505.15
2025-05-09 00:23:00,17.88,60.02,83617.16,173793.63
2025-05-09 00:24:00,29.5,37.12,88667.85,177014.06
2025-05-09 00:25:00,16.39,37.52,107692.27,265615.62
2025-05-09 00:26:00,17.91,33.43,138352.59,208347.52
2025-05-09 00:27:00,21.73,28.7,110392.56,285580.84
2025-05-09 00:28:00,18.7,19.33,117317.36,128955.26
2025-05-09 00:29:00,23.28,43.62,83125.66,142657.42
2025-05-09 00:30:00,21.18,33.8,130259.53,263095.92
2025-05-09 00:31:00,14.85,45.94,98736.19,232036.29
2025-05-09 00:32:00,24.58,41.98,109014.33,261530.5
2025-05-09 00:33:00,19.9,54.66,91270.38,159951.19
2025-05-09 00:34:00,15.15,37.96,120975.41,189551.89
2025-05-09 00:35:00,28.63,49.18,88406.2,205486.95
2025-05-09 00:36:00,17.25,20.35,84411.35,249572.0
2025-05-09 00:37:00,29.43,45.21,96186.5,244839.82
2025-05-09 00:38:00,14.82,32.4,120238.78,194094.91
2025-05-09 00:39:00,19.88,33.89,51401.7,259878.95
2025-05-09 00:40:00,19.78,48.79,63134.06,238556.2
2025-05-09 00:41:00,20.73,35.1,63700.15,209964.58
2025-05-09 00:42:00,16.73,54.52,105586.39,298040.72
2025-05-09 00:43:00,24.42,35.43,82857.55,193102.24
2025-05-09 00:44:00,17.76,38.42,107444.91,222999.78
2025-05-09 00:45:00,22.56,34.63,79866.07,164162.27
2025-05-09 00:46:00,21.05,36.71,120330.48,169505.61
2025-05-09 00:47:00,15.7,36.97,96424.38,193111.18
2025-05-09 00:48:00,18.07,45.01,130877.45,202575.85
2025-05-09 00:49:00,18.68,47.46,93619.28,247108.31
2025-05-09 00:50:00,15.06,40.68,104555.72,126736.56
2025-05-09 00:51:00,17.01,33.62,86826.2,141996.05
2025-05-09 00:52:00,25.11,17.44,127936.73,162583.63
2025-05-09 00:53:00,27.91,50.85,514590.32,163166.38
2025-05-09 00:54:00,20.45,57.78,124283.85,185711.49
2025-05-09 00:55:00,22.86,47.16,95580.15,235466.32
2025-05-09 00:56:00,17.89,48.24,129528.58,162107.29
2025-05-09 00:57:00,16.69,43.04,122550.06,149777.83
2025-05-09 00:58:00,25.56,43.98,112995.13,216331.31
2025-05-09 00:59:00,23.7,24.93,77541.33,212562.0
2025-05-09 01:00:00,20.73,43.04,117610.55,185554.02
2025-05-09 01:01:00,22.97,25.86,78140.14,228391.88
2025-05-09 01:02:00,16.11,45.54,67579.54,157184.21
2025-05-09 01:03:00,12.53,39.71,91941.09,150397.86
2025-05-09 01:04:00,12.15,32.37,137158.66,114272.29
2025-05-09 01:05:00,21.36,54.48,66390.82,229823.4
2025-05-09 01:06:00,16.1,19.06,114291.77,211471.03
2025-05-09 01:07:00,18.09,48.81,75365.6,260936.12
2025-05-09 01:08:00,19.72,51.58,79711.47,254833.79
2025-05-09 01:09:00,21.32,37.47,125760.26,261939.97
2025-05-09 01:10:00,21.64,36.74,74057.14,214987.85
2025-05-09 01:11:00,24.33,35.12,99772.59,104982.11
2025-05-09 01:12:00,13.4,39.75,89160.83,151209.25
2025-05-09 01:13:00,24.46,32.93,87288.67,186902.67
2025-05-09 01:14:00,17.09,26.32,103471.02,242774.31
2025-05-09 01:15:00,23.89,30.64,120786.42,267262.24
2025-05-09 01:16:00,23.86,32.0,86649.61,157935.87
2025-05-09 01:17:00,25.72,47.98,78774.25,118133.04
2025-05-09 01:18:00,21.53,40.88,99351.6,190288.43
2025-05-09 01:19:00,10.5,39.45,138134.03,246393.02
